0,0
1,65535
2,65535
3,65535
4,65535
5,65535
6,65535
7,65535
8,65535
9,65535
10,65535
11,65535
12,65535
13,65535
14,65535
15,65535
16,65535
17,65535
18,65535
19,65535
20,65535
21,65535
22,65535
23,65535
24,65535
25,65535
26,65535
27,65535
28,30235
29,24659
30,20553
31,20674
32,20371
33,18842
34,15771
35,14064
36,13846
37,12306
38,10933
39,11145
40,10588
41,9450
42,9079
43,7304
44,6824
45,6087
46,5885
47,5438
48,5088
49,4688
50,4512
51,3814
52,3828
53,3504
54,3101
55,2880
56,2743
57,2666
58,2476
59,2535
60,2416
61,2311
62,2424
63,2148
64,2051
65,1920
66,1760
67,1741
68,1641
69,1575
70,1421
71,1373
72,1425
73,1440
74,1424
75,1362
76,1175
77,1075
78,971
79,967
80,881
81,876
82,906
83,897
84,870
85,745
86,694
87,774
88,625
89,694
90,657
91,615
92,722
93,589
94,541
95,608
96,560
97,618
98,564
99,598
100,603
101,567
102,501
103,626
104,549
105,548
106,564
107,519
108,510
109,545
110,468
111,562
112,535
113,604
114,574
115,560
116,641
117,617
118,677
119,662
120,630
121,690
122,658
123,699
124,668
125,663
126,694
127,717
128,726
129,661
130,702
131,689
132,634
133,603
134,544
135,600
136,601
137,626
138,574
139,588
140,549
141,618
142,536
143,516
144,528
145,542
146,554
147,537
148,512
149,560
150,478
151,479
152,455
153,441
154,422
155,432
156,510
157,499
158,426
159,479
160,460
161,504
162,476
163,468
164,496
165,528
166,514
167,449
168,523
169,546
170,528
171,552
172,614
173,674
174,673
175,748
176,758
177,887
178,1008
179,1065
180,1253
181,1366
182,1490
183,1620
184,1701
185,1636
186,1650
187,1512
188,1622
189,1398
190,1457
191,1406
192,1351
193,1396
194,1348
195,1354
196,1337
197,1520
198,1509
199,1514
200,1704
201,1696
202,1851
203,2008
204,2058
205,2239
206,2431
207,2583
208,2770
209,2948
210,2960
211,3056
212,3156
213,3132
214,3095
215,3003
216,2864
217,2792
218,2603
219,2388
220,2272
221,2256
222,2106
223,2039
224,1989
225,1920
226,1954
227,1950
228,1933
229,1894
230,1823
231,1719
232,1569
233,1539
234,1474
235,1403
236,1353
237,1345
238,1313
239,1185
240,1163
241,1116
242,1094
243,1033
244,1097
245,1118
246,1104
247,1157
248,1145
249,1205
250,1143
251,1274
252,1284
253,1336
254,1416
255,1488
256,1571
257,1768
258,1827
259,1968
260,1917
261,2019
262,1989
263,2130
264,2092
265,2224
266,2248
267,2101
268,2065
269,2117
270,1946
271,1904
272,1861
273,1840
274,1921
275,1820
276,1771
277,1749
278,1697
279,1706
280,1607
281,1616
282,1576
283,1520
284,1488
285,1452
286,1360
287,1329
288,1411
289,1407
290,1318
291,1338
292,1318
293,1330
294,1360
295,1314
296,1435
297,1312
298,1366
299,1370
300,1328
301,1397
302,1445
303,1537
304,1485
305,1584
306,1580
307,1544
308,1674
309,1771
310,1867
311,1782
312,1868
313,1754
314,1927
315,1906
316,1979
317,1943
318,1984
319,2018
320,2143
321,2138
322,2269
323,2307
324,2352
325,2503
326,2679
327,2778
328,2898
329,3027
330,3126
331,3301
332,3520
333,3674
334,3748
335,4040
336,4176
337,4581
338,4867
339,5180
340,5379
341,6075
342,6395
343,6385
344,6733
345,6787
346,6961
347,6719
348,6677
349,6651
350,6276
351,5920
352,5784
353,5506
354,5474
355,5104
356,5008
357,4840
358,4673
359,4564
360,4441
361,4400
362,4560
363,4481
364,4517
365,4448
366,4240
367,4331
368,4029
369,4071
370,3799
371,3600
372,3507
373,3154
374,2965
375,2791
